"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.820480553E0,-7.223481536E-1,7.177666575E-2,-3.940080851E-2,7.269739806E-1
1.829167553E0,-7.015787363E-1,7.422012836E-2,-2.962696366E-2,7.061155059E-1
1.830223553E0,-7.015787363E-1,7.422012836E-2,-2.962696366E-2,7.061155059E-1
1.838245553E0,-7.015787363E-1,5.314527452E-2,-3.298672289E-2,7.043616027E-1
1.839111553E0,-7.015787363E-1,5.314527452E-2,-3.298672289E-2,7.043616027E-1
1.847648553E0,-7.205155492E-1,1.404990070E-2,-2.687807009E-2,7.211535807E-1
1.848541553E0,-7.205155492E-1,1.404990070E-2,-2.687807009E-2,7.211535807E-1
1.856935553E0,-7.229590416E-1,-1.221730490E-3,-2.412917651E-2,7.233626239E-1
1.857839553E0,-7.229590416E-1,-1.221730490E-3,-2.412917651E-2,7.233626239E-1
1.866216553E0,-7.125743032E-1,1.649336144E-2,-2.138028294E-2,7.130857487E-1
1.867079553E0,-7.125743032E-1,1.649336144E-2,-2.138028294E-2,7.130857487E-1
1.875546553E0,-7.031059265E-1,3.665191587E-3,-9.468411095E-3,7.031792292E-1
1.876408553E0,-7.031059265E-1,3.665191587E-3,-9.468411095E-3,7.031792292E-1
1.884863553E0,-7.046330571E-1,3.054326226E-4,1.832595794E-3,7.046355064E-1
1.885728553E0,-7.046330571E-1,3.054326226E-4,1.832595794E-3,7.046355064E-1
1.894218553E0,-7.028004527E-1,-6.108652451E-4,3.054326226E-4,7.028007846E-1
1.895085553E0,-7.028004527E-1,-6.108652451E-4,3.054326226E-4,7.028007846E-1
1.903530553E0,-7.156286240E-1,1.191187184E-2,2.443460980E-3,7.157319265E-1
1.904398553E0,-7.156286240E-1,1.191187184E-2,2.443460980E-3,7.157319265E-1
1.912882553E0,-7.150177956E-1,2.626720630E-2,9.162978968E-4,7.155007014E-1
1.913759553E0,-7.150177956E-1,2.626720630E-2,9.162978968E-4,7.155007014E-1
1.922172553E0,-7.156286240E-1,2.840523422E-2,-3.359758761E-3,7.162000229E-1
1.923065553E0,-7.156286240E-1,2.840523422E-2,-3.359758761E-3,7.162000229E-1
1.931451553E0,-7.104362845E-1,2.840523422E-2,-7.941247895E-3,7.110482650E-1
1.932327553E0,-7.104362845E-1,2.840523422E-2,-7.941247895E-3,7.110482650E-1
